,X,ensembl.id,symbol,biotype,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,
*,115,ENSG00000183508,FAM46C,protein_coding,162.3417105,1.998119076,0.161763882,12.35207178,4.75E-35,6.86E-33,deletions have negative impact in cancer.
*,43,ENSG00000181104,F2R,protein_coding,841.9873842,1.903496479,0.126703134,15.02327863,5.17E-51,2.00E-48,inhibits growth in cancers by upreg of p21. 
23,1325,ENSG00000126803,HSPA2,protein_coding,78.08617877,1.373391712,0.234591436,5.854398335,4.79E-09,6.01E-08,heat shock
5,329,ENSG00000182378,PLCXD1,protein_coding,200.7012516,1.354225734,0.148721048,9.105810889,8.56E-20,4.33E-18,phospholipase. 
85,4225,ENSG00000132915,PDE6A,protein_coding,5.759393112,1.191123317,0.366266693,3.252065606,0.001145696,0.004509025,amplification of visual signal. 
3,180,ENSG00000168807,SNTB2,protein_coding,640.0451084,1.143892674,0.104553411,10.94074943,7.36E-28,6.80E-26,binds polyA tail to mediate localisation of mRNA
22,1310,ENSG00000187123,LYPD6,protein_coding,148.4328547,1.025795201,0.174411265,5.881473321,4.07E-09,5.16E-08,positive feedback regulator of wnt pathway
9,698,ENSG00000128708,HAT1,protein_coding,802.9980042,0.872956278,0.120149527,7.265582287,3.71E-13,8.85E-12,histone accylation. 
16,941,ENSG00000119899,SLC17A5,protein_coding,341.7539499,0.838664193,0.126048865,6.653484665,2.86E-11,5.06E-10,transport out of lyososome
20,1192,ENSG00000136237,RAPGEF5,protein_coding,295.7479757,0.806298915,0.131488216,6.132100219,8.67E-10,1.21E-08,nucleotide exchange factor
6,419,ENSG00000169908,TM4SF1,protein_coding,10235.73285,0.783061797,0.092418959,8.472956303,2.39E-17,9.49E-16,induces angiogenesis?
18,1131,ENSG00000171346,KRT15,protein_coding,956.5035383,0.758222759,0.121398658,6.245726031,4.22E-10,6.20E-09,"keratin, scaffold protein binding"
8,689,ENSG00000080819,CPOX,protein_coding,623.3567274,0.725421578,0.099379793,7.299487734,2.89E-13,6.97E-12,overexpression associated with aggressive cancer?
56,2684,ENSG00000165434,PGM2L1,protein_coding,152.1720619,0.68583734,0.161572199,4.2447732,2.19E-05,0.000135561,metabolism
17,1069,ENSG00000086061,DNAJA1,protein_coding,1722.759275,0.614677439,0.096753496,6.353025648,2.11E-10,3.28E-09,protein transport chaperone in HS
30,1793,ENSG00000080824,HSP90AA1,protein_coding,24455.97423,0.610223364,0.118704769,5.140681089,2.74E-07,2.54E-06,HS chaperone ^
61,2866,ENSG00000243335,KCTD7,protein_coding,210.1515863,0.604053016,0.147413422,4.097679888,4.17E-05,0.000242117,?
